公司,漲跌幅,股價
東元,+0.60,55.1
川湖,+15.00,"1,425"
台達電,+11.50,417.0
金寶,+0.30,24.90
鴻海,+2.00,173.0
台積電,+5.00,"1,115"
宏碁,+0.40,38.60
英業達,+0.25,45.70
華碩,-5.00,652
金像電,+0.50,218.5
技嘉,-2.50,249.0
微星,-5.50,191.5
瑞昱,-27.00,539
廣達,+2.50,242.5
台光電,+24.00,600
研華,-2.00,410.5
美律,+9.50,115.0
京元電子,+5.00,106.5
凌群,-1.00,64.7
聯發科,-0.00,"1,525"
零壹,-1.00,137.0
欣興,+0.50,123.5
健鼎,+2.00,196.0
僑威,+1.50,86.0
波若威,+5.00,154.0
亞信,-0.00,106.5
原相,-8.00,252.0
緯創,+1.50,103.5
雙鴻,+8.00,579
創意,-25.00,"1,325"
