課程名稱,老師,學分數
能源科學故事(二)：化石與再生能源,"陳發林
一 7,8,9
應113",3 學分
東亞陶瓷文化史,"施靜菲
四 7,8,9
博雅201",3 學分
日本建築史導論,"堀込憲二
三 7,8,9
普405",3 學分
,,3 學分
台灣美術踏查,"邱函妮
三 3,4,5
文17",3 學分
墓葬中的中國藝術史,"林郡儀
二 8,9,10
新403",3 學分
文化人類學丙,"呂欣怡
二 7,8,9
共101",3 學分
文化資產與材料分析,"陳東和
四 7,8,9
綜201",3 學分
天氣與氣候,"吳明進
四 8,9
大氣B105",2 學分
大氣環境概論,"谷邁世
三 2,3,4
大氣系A100",3 學分
微生物體宇宙,"吳偉愷
五 3,4
食科102",2 學分
生態傳播專題,"林如森
五 3,4,5
生傳402室",3 學分
媒體識讀與社區傳播實踐,"汪文豪
五 3,4
共204",2 學分
水資源概論,"張斐章
五 3,4
普103",2 學分
大氣環境概論,"谷邁世
三 2,3,4
大氣系A100",3 學分
微生物體宇宙,"吳偉愷
五 3,4
食科102",2 學分
生態傳播專題,"林如森
五 3,4,5
生傳402室",3 學分
媒體識讀與社區傳播實踐,"汪文豪
五 3,4
共204",2 學分
水資源概論,"張斐章
五 3,4
普103",2 學分
食品營養概論,"林璧鳳
四 6,7
農化二B10-1",2 學分
微生物學下,"黃慶璨
三 3,4
新204",2 學分
中國傳統生命禮俗,"彭美玲
五 6,7
博雅302",2 學分
音樂作品欣賞二,"蔡世豪
四 3,4
外教劇場",2 學分
音樂作品欣賞二,"蔡世豪
四 6,7
外教劇場",2 學分
人文科技的交響：新趨勢與新素養（二）,"鄭毓瑜
四 7,8,9
博雅301",3 學分
佛教．禪與人生,"羅鈴沛
一 7,8,9
綜404",3 學分
東坡詞,"劉少雄
二 3,4,5
普103",3 學分
亞洲共同體：東亞文學與文化,"梅家玲
二 8,9,10
普405",3 學分
建築導論,"呂欽文
五 7,8,9
博雅103",3 學分
寰宇測繪,"科 林
三 3,4
普301",2 學分
東亞導論,"周嘉辰
五 7,8
社科406",2 學分
現代科學與心靈科學,"歐陽彥正
五 6,7,8
博雅102",3 學分
C/C++程式設計,"張傑帆
一 5,6,7
普501",3 學分
Python 計算機程式設計,"張傑帆
一 8,9,10
普503",3 學分
普通化學甲下,"姜昌明
三 3,4 / 五 3,4
普101",3 學分
普通化學甲下,"蔡蘊明
三 3,4 / 五 3,4
博雅201",3 學分
普通化學丙,"林至闓
一 3,4 / 四 3,4
普103",3 學分
普通化學丙,"鍾博文
三 3,4 / 四 3,4
新505",3 學分
從化學看世界,"劉如熹
四 6,7
普406",2 學分
分子美學,"金必耀
一 6,7,8
新202",3 學分
化學探究與實作,"佘瑞琳
三 7,8,9
博雅303",3 學分
音樂設計與創新應用,"蔡佳芬
一 6,7,8
卓R506",3 學分
看電影學愛情,"黃韻如
四 A,B,C,D
普101",2 學分
Python程式設計,"林澤佑
二 4,5,6
新103",3 學分
Python程式設計,"林澤佑
二 7,8,9
新103",3 學分
Python程式設計,"林澤佑
三 4,5,6
新503",3 學分
總體經濟學原理與實習,"林明仁
一 5 / 三 5 / 五 2,3,4
社科和碩講堂",4 學分
總體經濟學原理與實習,"廖珮如
一 5 / 三 5 / 五 2,3,4
博雅102",4 學分
總體經濟學原理與實習,"樊家忠
一 5 / 三 5 / 五 2,3,4
博雅101",4 學分
總體經濟學原理與實習,"高恩琵
一 5 / 三 5 / 五 3,4,5
社科403",4 學分
個體經濟學原理,"駱明慶
五 3,4,5
社科503",3 學分
個體經濟學原理,"李顯峰
二 7,8,9
社科201",3 學分
總體經濟學原理,"朱敬一
五 2,3,4
博雅103",3 學分
總體經濟學原理,"吳中書
一 7,8,9
博雅101",3 學分
總體經濟學原理,"謝德宗
二 2,3,4
社科202",3 學分
深造預備英文寫作與口語表達,"李佳穗
五 6,7,8
社科305",3 學分
